"PUBLICATION_DATE","UID","SITE_ID","DATE_COL","VISIT_NO","PSTL_CODE","LAT_DD83","LON_DD83","AG_ECO3","AG_ECO9","XCOORD","YCOORD","UNIQUE_ID","ELEVATION","STRAH_ORD","NARS_NAME","EPA_REG","STATE","YEAR","COMID","PROTOCOL","BANGMODE","XBKA","MEDBK_A","XUN","MEDBKUN","LTEST","LRBS_TST","LDMB_BW5","LRBS_BW5","LDCBF_G08","LRBS_G08","XCDENMID","XCDENBK","XSHOR2VG","PCT_OVRB","CONSTRAINT","CONFEATURES","CONPATTERN","CONPERCENT","PCT_FA","PCT_GL","PCT_POOL","PCT_DR","PCT_FAST","PCT_SLOW","XWIDTH","SDWIDTH","XBKF_W","XBKF_H","XINC_H","SDINC_H","BFWD_RAT","XWXD","XWD_RAT","SDWXD","SDWD_RAT","XDEPTH","SDDEPTH","XDEPTH_CM","SDDEPTH_CM","XFC_ALG","XFC_RCK","XFC_BRS","XFC_LVT","XFC_AQM","XFC_OHV","XFC_HUM","XFC_UCB","XFC_LWD","XFC_NAT","XFC_BIG","XFC_ALL","PCT_SIDE","REACHLEN","W1_HAG","W1_HNOAG","W1_HALL","W1H_BLDG","W1H_LDFL","W1H_LOG","W1H_MINE","W1H_PARK","W1H_PSTR","W1H_PVMT","W1H_PIPE","W1H_ROAD","W1H_CROP","W1H_WALL","C1TM100","C1WM100","C2TM100","C2WM100","C4TM100","C4WM100","V1WM100","V1W_MSQ","V2WM100","V2W_MSQ","V4WM100","V4W_MSQ","RPXDEP","RPMXDEP","RPGT50","RPGT75","RPXDEP_CM","RPMXDEP_CM","RP100","PCAN_C","PCAN_D","PCAN_E","PCAN_M","PCAN_N","XCL","XCS","XMW","XMH","XGW","XGH","XGB","XC","XM","XCMW","XCM","XG","XCMGW","XCMG","XPCAN","XPMID","XPMGW","XPCM","XPCMG","PCTCLINOMETER","SINU","XBEARING","XSLOPE","XSLOPE_FIELD","XSLOPE_MAP","LSUB_DMM","LSUBD_SD","LSUB_DMM_NOR","PCT_BL","PCT_CB","PCT_FN","PCT_GC","PCT_GF","PCT_HP","PCT_OT","PCT_OM","PCT_RC","PCT_RR","PCT_RS","PCT_SA","PCT_SB","PCT_WD","PCT_XB","PCT_BIGR","PCT_BDRK","PCT_SAFN","PCT_SFGF","PCT_ORG","PCT_BH","PCT_GR","XEMBED","XCEMBED","REALM","SURVEY_YRS","XSLOPE_use","LRBS_use","RP100_cm","PCT_SFG","XGveg","LWDeqVol_msq","LWDeqVolM100","pct_DRS","LitSB1_FN","LitSB1_SF","LitSB1_SFGF","LitSB12_FN","LitSB12_SF","QRVeg1","QRVeg2","RDIST1","QRDIST1","QR1","CVdth","RpRat","CVWIDTH","CVWXD"
"3/24/2021",2014737,"NRS18_OK_10062","6/20/2018","1","OK",35.54538886,-99.72270533,"PLNLOW","SPL",-334492.2,-212396.1,"NRS_OK-10090",663.935,2,"Sergeant Major Creek","Region_06","OK",2018,3142124,"WADEABLE","",27.72727273,20,0,0,1.300996737,-2.688838351,1.019722393,-2.407564007,0.623550939,-2.011392553,100,100,NA,NA,"CON_BROAD","TERRACE","SINGLE",100,0,75,25,0,0,100,16.22380952,10.28765789,16.41818182,0,1,0,78.85269841,5.9833,69.82733934,5.532299742,68.98811533,31.04,17.65775647,31.04,17.65775647,0.004545455,0,0.022727273,0,0.875,0.875,0,0,0.009090909,0.906818182,0.009090909,1.786363636,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.055555556,8.055555556,2.777777778,2.777777778,0,0,2.006111111,0.001221884,1.7,0.001035437,0,0,18.00974488,69.1645,2,0,18.00974488,69.1645,14.5533292,0,0.5,0.045454545,0,0.454545455,0.088095238,0.147727273,0.15,0.475,0.088095238,0.340909091,0.038636364,0.231818182,0.625,0.381818182,0.856818182,0.425,0.465909091,1.281818182,0.545454545,1,1,0.545454545,0.545454545,0,NA,NA,0.940555556,NA,0.940555556,-1.387841614,0.822835608,-1.387841614,0,0,56.19047619,0,0,0,0,0,0,0,0,43.80952381,0,0,0,0,0,100,100,0,0,0,100,100,"WADEABLE",1819,0.940555556,-2.011392553,14.5533292,100,0.429004329,0.001035437,1.7,NA,NA,NA,NA,NA,NA,0.309659091,1,0,1,0.676541764,0.56887102,0.468857255,0.634108646,0.924623492
"3/24/2021",2012488,"NRS18_OK_10431","6/25/2018","1","OK",36.90216839,-95.16425506,"PLNLOW","TPL",73775.19714,-66667.38347,"NRS_OK-10206",240.81,1,"Wolfe Creek","Region_06","OK",2018,21769803,"WADEABLE","",33.59090909,23.5,0,0,0.633742412,0.589124301,0.721697891,0.501168822,0.588700544,0.634166169,74.06417112,76.73796791,NA,NA,"CON_BROAD","TERRACE","SINGLE",100,0,0,82.66666667,17.33333333,0,82.66666667,2.611111111,1.921439071,6.345454545,0.259090909,1.468181818,0.485423901,15.59023012,0.737558824,18.43907303,0.872563534,12.06524222,22.43333333,19.4734087,22.43333333,19.4734087,0,0.004545455,0.05,0.009090909,0.036363636,0.009090909,0,0,0.004545455,0.077272727,0.009090909,0.113636364,0,150,1.5,0.090909091,1.590909091,0,0,0,0,0,1.5,0,0,0.090909091,0,0,34.66666667,34.66666667,3.333333333,3.333333333,0,0,3.570666667,0.005627125,1.753333333,0.002763133,0,0,23.72896134,88.34,1,1,23.72896134,88.34,19.74759199,0,0.909090909,0,0,0.090909091,0.281818182,0.440909091,0.089772727,0.448863636,0.05,0.395454545,0.046590909,0.722727273,0.538636364,0.8125,1.261363636,0.445454545,0.8625,1.706818182,0.909090909,1,0.954545455,0.909090909,0.909090909,0,1.276116201,190.7671056,0.28,0.28,NA,1.222866713,1.341585678,0.762919754,0,4.761904762,2.857142857,21.9047619,42.85714286,4.761904762,0.952380952,0,0,0,10.47619048,11.42857143,0,0,0,37.14285714,10.47619048,14.28571429,57.14285714,0,15.23809524,64.76190476,58.27272727,47.27272727,"WADEABLE",1819,0.28,0.634166169,19.74759199,79.04761904,0.445454545,0.002763133,1.753333333,NA,NA,NA,NA,NA,NA,0.488125,0.790641711,0.614035088,0.385964912,0.530093973,0.868056852,0.880278989,0.735870283,1.183042634
"3/24/2021",2012489,"NRS18_OK_10025","7/2/2018","1","OK",33.92944924,-96.0702418,"PLNLOW","CPL",-6446.568611,-399691.674,"NRS_OK-10180",140.37,4,"Blue River","Region_06","OK",2018,700772,"WADEABLE","",19.31818182,10,0,0,1.512924142,-2.658372423,1.556057834,-2.701506115,1.730096513,-2.875544794,12.03208556,67.11229947,NA,NA,"CON_VSHAPED","HILLSLOPE","SINGLE",100,0,72.27722772,27.72277228,0,0,100,18.20952381,3.76296489,21.87272727,0.854545455,5.909090909,0.301511345,9.447973401,27.0596,14.82157289,12.41090949,7.71939587,149.94,56.77882305,149.94,56.77882305,0,0,0.152272727,0.009090909,0,0,0,0,0.168181818,0.329545455,0.168181818,0.329545455,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5625,50.78125,19.0625,18.28125,2.34375,2.03125,26.15015625,0.011955599,24.26515625,0.011093795,11.2203125,0.005129819,74.14759931,195.0715,8,7,74.14759931,195.0715,67.40690847,0,0.954545455,0,0,0.045454545,0.429545455,0.313636364,0.157954545,0.547727273,0,0.1375,0.138636364,0.743181818,0.705681818,0.901136364,1.448863636,0.1375,0.901136364,1.586363636,0.954545455,1,0.045454545,0.954545455,0.954545455,0,1.074557555,128.1242681,0.3171875,0.3171875,NA,-1.145448281,1.602487433,-1.549408963,0,0,60.95238095,0,0,7.619047619,0,0,0,0,0,31.42857143,0,0,0,0,0,92.38095238,92.38095238,0,7.619047619,0,96.36363636,96.96969697,"WADEABLE",1819,0.3171875,-2.875544794,67.40690847,92.38095238,0.1375,0.011093795,24.26515625,NA,NA,NA,NA,NA,NA,0.505511364,0.704010695,0,1,0.708658053,0.378676958,0.449559214,0.206648177,0.458650885
"3/24/2021",2012490,"NRS18_WI_10091","7/2/2018","1","WI",42.5368677,-89.39556013,"PLNLOW","TPL",538716.363,582888.3968,"NRS_WI-10211",241.03,1,"None","Region_05","WI",2018,13426309,"WADEABLE","",31.95454545,30,0.042857143,0,1.28818514,-0.084253752,1.480633643,-0.276702255,1.390961617,-0.187030228,52.94117647,79.14438503,NA,NA,"CON_BROAD","HUMAN","SINGLE",75,1.818181818,52.72727273,15.45454545,0,31.81818182,68.18181818,3.216666667,1.260885932,3.640909091,0.42,1.26,0.795612971,5.10715225,1.256175,18.08873578,1.206331229,27.45710208,33.74545455,24.0036069,33.74545455,24.0036069,0,0.045,0.045454545,0.027272727,0.120454545,0.2,0.075,0.022727273,0.013636364,0.354090909,0.156363636,0.549545455,0,150,0.840918182,1.666677273,2.507595455,0.136363636,0.363636364,0,0,0.030304545,0.045454545,0,0.068181818,0.348490909,0.795463636,0.7197,2,2,0.666666667,0.666666667,0,0,0.198666667,0.000545651,0.121333333,0.00033325,0,0,27.63965003,85.05,3,1,27.63965003,85.05,23.07530415,0,0.409090909,0,0,0.590909091,0.102272727,0.056818182,0.204545455,0.493181818,0.186363636,0.598863636,0.173863636,0.159090909,0.697727273,0.363636364,0.856818182,0.785227273,0.55,1.642045455,0.409090909,1,0.909090909,0.409090909,0.409090909,0,2.106407445,88.63972671,0.84,0.84,NA,1.203931388,1.674668414,0.962480942,6.666666667,17.14285714,16.19047619,36.19047619,14.28571429,0,0,0,8.571428571,0,0,0,5.714285714,0.952380952,0.952380952,68.57142857,0,16.19047619,30.47619048,0.952380952,0,50.47619048,53.41818182,52.72727273,"WADEABLE",1819,0.84,-0.187030228,23.07530415,66.66666667,0.785227272,0.00033325,0.121333333,NA,NA,NA,NA,NA,NA,0.3475,0.812299465,0.714904409,0.285095591,0.431738216,0.711313782,0.68380481,0.391985264,0.960320998
"3/24/2021",2012491,"NRS18_WI_10006","7/12/2018","1","WI",45.49625722,-87.98249295,"PLNLOW","UMW",625924.8,920542.7,"NRS_WI-10087",254.75,4,"Pike River","Region_05","WI",2018,6847893,"WADEABLE","",27.82352941,20,2.076470588,0,0.401087234,-0.237237722,0.562883966,-0.399034453,0.850612605,-0.686763092,52.05882353,97.21362229,NA,NA,"CON_BROAD","TERRACE","SINGLE",80,0,96.33027523,0,0,1.834862385,96.33027523,20.8,2.853068524,18.31818182,0.5,0.65,0.264575131,17.39950403,12.88813636,21.70948845,8.225628546,14.29679836,79.01041667,18.84144077,79.01041667,18.84144077,0,0.141666667,0.044444444,0.061111111,0.016666667,0.044444444,0.097222222,0.022222222,0.027777778,0.341666667,0.288888889,0.455555556,0,720,0,1.250013636,1.250013636,0.075759091,0.575759091,0,0,0.143940909,0,0.090913636,0,0.227277273,0,0.136363636,16.38888889,15.97222222,8.333333333,8.333333333,0.555555556,0.555555556,8.166805556,0.004458306,7.72375,0.004216439,4.806944444,0.002624138,19.79749101,57.79931818,1,0,19.79749101,57.79931818,13.44049848,0,0.045454545,0,0.863636364,0.090909091,0.156818182,0.326136364,0.490909091,0.056818182,0.492045455,0.307954545,0.252272727,0.482954545,0.547727273,0.973863636,1.030681818,0.8,1.465909091,1.830681818,0.909090909,1,0.909090909,0.909090909,0.909090909,0,1.02107721,81.87054031,0.046527778,0.046527778,0.050385802,0.163849512,1.270832549,0.163849512,4.166666667,5.208333333,8.333333333,14.58333333,11.45833333,0,0,0,0,0,0,46.875,2.083333333,3.125,2.083333333,23.95833333,0,55.20833333,66.66666667,3.125,0,26.04166666,83.22222222,78.14814815,"WADEABLE",1819,0.046527778,-0.686763092,13.44049848,81.25,0.8,0.004216439,7.72375,NA,NA,NA,NA,NA,NA,0.759659091,0.974922601,0.555558249,0.444441751,0.690453723,0.238467807,0.170110462,0.137166756,0.638232582
"3/24/2021",2012492,"NRS18_OK_10001","7/16/2018","2","OK",35.7493094,-97.13433463,"PLNLOW","SPL",-101673.3,-195512.3,"NRS_OK-10053",266.11,4,"Bear Creek","Region_06","OK",2018,532475,"WADEABLE","",21.36363636,17.5,0,0,0.787869308,-0.13829373,0.901141071,-0.251565494,0.80999659,-0.160421012,17.2459893,83.42245989,NA,NA,"CON_VSHAPED","HILLSLOPE","SINGLE",100,0,32.29166667,55.20833333,0,12.5,87.5,6.461904762,1.136871229,8.609090909,0.290909091,3.818181818,0.981649817,16.87884214,2.259909091,29.56326592,2.005835057,26.66703088,33.59,23.21358667,33.59,23.21358667,0.161363636,0,0.031818182,0.045454545,0.259090909,0.027272727,0,0,0,0.104545455,0,0.525,0,240,0.227281818,0.068181818,0.295463636,0,0.068181818,0,0,0,0.227281818,0,0,0,0,0,5,4.166666667,2.083333333,1.666666667,0,0,0.7,0.000813094,0.555,0.000644667,0,0,22.29711508,64.864,1,0,22.29711508,64.864,18.91876431,0,0.772727273,0,0.045454545,0.181818182,0.168181818,0.195454545,0.185227273,0.751136364,0.002272727,0.097727273,0.027272727,0.363636364,0.936363636,0.548863636,1.3,0.1,0.551136364,1.4,0.818181818,1,0.045454545,0.818181818,0.590909091,0,1.359558375,203.7018141,0.266666667,0.266666667,NA,0.649575578,2.571460405,-1.184014983,0,0.952380952,35.23809524,2.857142857,3.80952381,37.14285714,0,0,0,0,0,20,0,0,0,3.80952381,0,55.23809524,59.04761905,0,37.14285714,6.666666667,66.54545455,62.42424242,"WADEABLE",1819,0.266666667,-0.160421012,18.91876431,61.90476191,0.1,0.000644667,0.555,NA,NA,NA,NA,NA,NA,0.348011364,0.850802139,0.228075592,0.771924408,0.611409605,0.691086236,0.563226088,0.175934383,0.887573339
"3/24/2021",2012493,"NRS18_OK_11085","7/16/2018","1","OK",36.71441566,-97.79295371,"PLNLOW","SPL",-158662.0831,-86530.61793,"NRS_OK-10220",316.95,4,"Pond Creek","Region_06","OK",2018,21002191,"WADEABLE","",25.90909091,21.5,0,0,0.084577879,-1.268070017,0.237325697,-1.420817835,0.015750019,-1.199242157,42.2459893,64.70588235,NA,NA,"CON_BROAD","TERRACE","SINGLE",100,0,62,38,0,0,100,5.26,1.58459691,7.3,0.436363636,3.2,0.424264069,9.247068206,2.705052632,13.22147374,2.169007158,6.722358608,44.81,20.58718587,44.81,20.58718587,0,0,0.063636364,0,0,0.004545455,0,0,0,0.068181818,0,0.068181818,0,240,1.083340909,0.136363636,1.219704545,0,0.068181818,0,0,0,1.083340909,0,0.068181818,0,0,0,5.416666667,5.416666667,1.25,1.25,0,0,1.24875,0.001710616,1.007083333,0.001379566,0,0,26.55232812,84.8825,1,1,26.55232812,84.8825,24.40668544,0,0.545454545,0,0,0.454545455,0.063636364,0.284090909,0.1875,0.342045455,0.094318182,0.155681818,0.171590909,0.347727273,0.529545455,0.535227273,0.877272727,0.25,0.629545455,1.127272727,0.545454545,1,0.681818182,0.545454545,0.545454545,0,1.320016727,99.72539262,0.039583333,0.039583333,NA,-1.183492138,0.822835608,-1.183492138,0,0,43.80952381,0,0,0,0,0,0,0,0,56.19047619,0,0,0,0,0,100,100,0,0,0,100,100,"WADEABLE",1819,0.039583333,-1.199242157,24.40668544,100,0.25,0.001379566,1.007083333,NA,NA,NA,NA,NA,NA,0.383295455,0.682352941,0.549489592,0.450510408,0.490248028,0.459432847,0.544670508,0.301254165,0.801835474
"3/24/2021",2012494,"NRS18_WI_10053","7/16/2018","1","WI",44.55819594,-90.32250897,"PLNLOW","UMW",449734.6505,803184.559,"NRS_WI-10201",339.84,3,"East Fork Black River","Region_05","WI",2018,13134283,"WADEABLE","",56.59090909,64.5,5.097619048,0.2,-0.962457307,0.358091588,-0.913389052,0.309023333,-1.168899484,0.564533764,24.86631016,89.57219251,NA,NA,"UNC_BROAD","NOCONST","SINGLE",0,0,99,1,0,0,100,3.042857143,0.632907125,2.781818182,0.281818182,0.872727273,0.195401684,4.290995561,1.41485,7.377578673,0.555325061,4.055887339,47.75,15.53645111,47.75,15.53645111,0.009090909,0,0.05,0,0.040909091,0.05,0,0.045454545,0.022727273,0.168181818,0.068181818,0.218181818,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.333333333,1.333333333,0,0,0.955333333,0.003434205,0.916666667,0.003295207,0,0,23.69844243,48.42395111,0,0,23.69844243,48.42395111,21.78341678,0,0.272727273,0,0,0.727272727,0.006818182,0.011111111,0.084090909,0.832142857,0.077272727,0.861363636,0.002380952,0.015909091,0.878409091,0.1,0.894318182,0.938636364,0.177272727,1.832954545,0.272727273,1,0.772727273,0.272727273,0.272727273,0,1.245618969,186.2233272,0.003333333,0.003333333,0.185075511,-0.60436572,0.538631181,-0.60436572,0,0,9.523809524,0.952380952,0,0,0,0,0,0,0,85.71428571,0,3.80952381,0,0.952380952,0,95.23809524,95.23809524,3.80952381,0,0.952380952,96.54545455,96.96969697,"WADEABLE",1819,0.003333333,0.564533764,21.78341678,96.19047619,0.938636363,0.003295207,0.916666667,NA,NA,NA,NA,NA,NA,0.179772727,0.906149733,0,1,0.546144953,0.325370704,0.45619721,0.207997647,0.392497481
"3/24/2021",2012495,"NRS18_OK_10053","7/17/2018","1","OK",35.88536261,-97.61348318,"PLNLOW","SPL",-144358.4661,-179660.0877,"NRS_OK-10196",286.49,6,"Cimarron River","Region_06","OK",2018,255614,"WADEABLE","",13.5,7.5,0,0,0.331334326,-0.838901275,0.419401152,-0.9269681,0.433966957,-0.941533906,0,14.97326203,NA,NA,"CON_BROAD","HILLSLOPE","SINGLE",100,0,99.00990099,0,0,0,99.00990099,66.01904762,23.33982903,146.7272727,0.327272727,3.545454545,0.610513941,140.6612031,39.5415,136.0037199,13.4965521,112.4167908,62.98,28.84930544,62.98,28.84930544,0,0,0.022727273,0.027272727,0,0.004545455,0,0,0.004545455,0.059090909,0.004545455,0.059090909,0,2000,0.204545455,0.136363636,0.340909091,0.068181818,0,0,0,0,0.204545455,0,0,0,0,0.068181818,3.7,3.6,1.95,1.85,0.25,0.25,1.794,0.000122268,1.6925,0.00011535,0.62525,4.26e-05,26.1191867,131.7572576,4,3,26.1191867,131.7572576,18.54462256,0,0.181818182,0,0,0.818181818,0,0.079545455,0.323863636,0.368181818,0.018181818,0.05,0.267045455,0.079545455,0.692045455,0.403409091,0.771590909,0.068181818,0.421590909,0.839772727,0.181818182,1,0.181818182,0.181818182,0.045454545,0,1.217505467,62.58668544,0.049709695,NA,0.049709695,-0.507566948,0.276292356,-0.507566948,0,0,2.857142857,0,0,0,0,0,0,0,0,97.14285714,0,0,0,0,0,100,100,0,0,0,100,100,"WADEABLE",1819,0.049709695,-0.941533906,18.54462256,100,0.068181818,0.00011535,1.6925,NA,NA,NA,NA,NA,NA,0.289715909,0.234759358,0.254237288,0.745762712,0.370167803,0.458070903,0.294452565,0.353531744,0.341326255
"3/24/2021",2012496,"NRS18_OK_10050","7/17/2018","2","OK",35.92581867,-99.51524603,"PLNLOW","SPL",-314285.2,-170542.2,"NRS_OK-10047",582.48,7,"Canadian River","Region_06","OK",2018,5265128,"WADEABLE","",28.29166667,24.5,0,0,0.208520941,-0.668930318,0.394517451,-0.854926828,0.276947028,-0.737356405,0,48.7745098,NA,NA,"CON_BROAD","TERRACE","BRAIDED",100,0,100,0,0,0,100,46.3,25.70478555,62.14545455,0.2,0.7,0,158.81794,10.4802381,225.6173784,7.22855978,169.9932777,24.71818182,10.06686983,24.71818182,10.06686983,0,0,0,0.05,0.05,0.008333333,0,0,0,0.058333333,0,0.108333333,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.083333333,0,0,0,0,0.004833333,7.78e-07,0,0,0,0,10.3346702,46.273625,0,0,10.3346702,46.273625,6.785389525,0,0,0.041666667,0.041666667,0.916666667,0,0.013043478,0.215909091,0.798958333,0.05,0.05,0.013043478,0.0125,0.996875,0.210416667,1.009375,0.1,0.260416667,1.109375,0.083333333,1,0.958333333,0.083333333,0.083333333,0,1.161680002,36.02585876,0.095458333,0.095458333,0.093055556,-0.460409377,0,-0.460409377,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,100,100,"WADEABLE",1819,0.095458333,-0.737356405,6.785389525,100,0.1,0,0,NA,NA,NA,NA,NA,NA,0.2171875,0.538970588,0,1,0.489177678,0.407265789,0.274510058,0.555178954,0.6897324
