"","COMMONNAME","OTHERNAMES","MAXTL","MINTEMP","MAXTEMP","MUCK","CLAYSILT","SAND","GRAVEL","COBBLE","BOULDER","BEDROCK","VEGETAT","DEBRDETR","LWD","SLOWCURR","MODCURR","FASTCURR"
"1","river.carpsucker",".",64,-6.8,33.3,1,1,1,0,0,0,0,0,0,0,1,0,0
"2","quillback",".",66,-11.7,29.6,0,0,1,1,1,1,1,0,0,0,1,1,0
"3","highfin.carpsucker",".",50,-6,31.5,1,1,1,1,0,0,0,0,0,0,0,1,0
"4","longnose.sucker",".",64,-999,-999,0,0,1,1,0,0,0,0,0,0,1,1,0
"5","white.sucker",".",64,-999,-999,1,1,1,1,1,1,1,1,1,0,1,1,1
"6","blue.sucker",".",93,-6,31.9,0,0,0,1,1,0,0,0,0,0,0,1,1
"7","alabama.hog.sucker",".",23,0,32.9,0,0,0,1,1,1,1,0,0,0,0,1,1
"8","northern.hog.sucker",".",61,-8.1,29.3,0,0,0,1,1,1,1,0,0,0,0,1,1
"9","smallmouth.buffalo",".",112,-4.6,33.3,0,0,0,0,0,0,0,1,1,1,1,1,0
"10","bigmouth.buffalo",".",123,-8,31.7,0,1,1,1,0,0,0,1,1,1,1,0,0
"11","black.buffalo",".",123,-5.4,31.7,1,1,1,1,1,1,1,1,1,1,1,0,0
"12","spotted.sucker",".",50,-3,32.3,0,1,1,1,1,1,1,0,1,0,1,1,0
"13","silver.redhorse",".",74,-999,-999,0,1,1,1,1,1,1,0,0,0,1,1,0
"14","river.redhorse",".",77,-4.3,32.6,0,0,0,1,1,1,0,0,0,0,0,1,0
"15","blacktip.jumprock","black.jumprock",19,-3.1,31,0,1,0,0,1,1,1,0,1,0,0,1,1
"16","black.redhorse",".",51,-4.7,31.3,0,0,0,1,1,1,1,0,0,0,1,1,0
"17","golden.redhorse",".",78,-7,30.7,0,1,1,1,1,0,1,0,0,0,1,0,0
"18","shorthead.redhorse",".",75,-18.6,26.9,0,1,1,1,1,0,1,0,0,0,1,1,1
"19","v-lip.redhorse","suckermouth.redhorse",45,-2.2,31.6,1,1,1,1,1,1,1,0,0,0,1,0,0
"20","blacktail.redhorse",".",51,1.5,33.3,1,1,1,1,1,1,1,0,0,0,1,1,1
"21","striped.jumprock",".",28,-0.4,32.4,0,0,1,1,0,0,0,0,0,0,0,1,1
"22","blackfin.sucker",".",15.5,-3.6,31.6,0,0,0,1,1,0,1,0,0,0,0,1,0
"23","torrent.sucker",".",18,-4.2,30.2,0,0,1,1,1,1,0,0,0,0,0,0,1
