"","Species","COMMONNAME"
"1","moxostoma.erythrurum","golden.redhorse"
"2","ictiobus.niger","black.buffalo"
"3","moxostoma.carinatum","river.redhorse"
"4","moxostoma.duquesnei","black.redhorse"
"5","moxostoma.anisurum","silver.redhorse"
"6","ictiobus.bubalus","smallmouth.buffalo"
"7","minytrema.melanops","spotted.sucker"
"8","hypentelium.etowanum","alabama.hog.sucker"
"9","moxostoma.poecilurum","blacktail.redhorse"
"10","erimyzon.oblongus","eastern.creek.chubsucker"
"11","erimyzon.claviformis","western.creek.chubsucker"
"12","hypentelium.nigricans","northern.hog.sucker"
"13","catostomus.commersonii","white.sucker"
"14","moxostoma.rupiscartes","striped.jumprock"
"15","moxostoma.collapsum","notchlip.redhorse"
"16","ictiobus.cyprinellus","bigmouth.buffalo"
"17","carpiodes.carpio","river.carpsucker"
"18","carpiodes.cyprinus","quillback"
"19","moxostoma.macrolepidotum","shorthead.redhorse"
"20","cycleptus.elongatus","blue.sucker"
"21","thoburnia.atripinnis","blackfin.sucker"
"22","moxostoma.breviceps","smallmouth.redhorse"
"23","catostomus.catostomus","longnose.sucker"
"24","moxostoma.pappillosum","v-lip.redhorse"
"25","carpiodes.velifer","highfin.carpsucker"
"26","moxostoma.cervinum","blacktip.jumprock"
"27","hypentelium.roanokense","roanoke.hog.sucker"
"28","thoburnia.rhothoeca","torrent.sucker"
