SID,ALTSID,NOTES,FID,GENUS,SPECIES,GID,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,LONGCENTROID,LATCENTROID,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,POTANADR,LACUSTRINE,LOWLAND,UPLAND,MONTANE,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,SLOWCURR,MODCURR,FASTCURR,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT
Apomotis,Apomotis,29,Centrarc,Acantharchus,pomotis,Acanthar,168095,mud sunfish,.,349,1,0,1,1,0,0,0,1,1,0,0,0,21.0,1.0,4.0,11838,0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,32.5,1522407.61336,1441917.04675,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,340317,4278,1,1569,700,0,0,0,0,0,0,0,O
Abreviro,Abreviro,7,Acipense,Acipenser,brevirostrum,Acipense,161069,shortnose sturgeon,.,60,1,0,1,0,0,0,0,1,1,0,0,0,143.0,10.0,67.0,200000,0,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,NC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.2,30.6,1759154.46885,1944692.14170,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,385756,5736,1,2250,1139,1,1,1,1,0,0,0,O
Afulvesc,Afulvesc,16,Acipense,Acipenser,fulvescens,Acipense,161071,lake sturgeon,.,60,1,0,1,0,1,1,0,1,1,0,1,0,274.0,18.0,43.0,1000000,0,0.00,0.00,0.00,0.25,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,WI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,467636.28062,2852265.60483,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,3943409,14766,3,3095,3455,1,3,1,1,0,0,0,O
Amediros,Amediros,20,Acipense,Acipenser,medirostris,Acipense,161067,green sturgeon,.,60,1,0,1,0,0,0,0,1,1,0,0,0,270.0,20.0,65.0,140000,0,0.00,0.00,0.50,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,4.00,CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555.0,-555.0,-2604282.63663,4544309.48978,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,269708,6364,5,3430,1721,1,3,1,1,0,0,0,O
Aoxyrinc,Aoxyrhyn,26,Acipense,Acipenser,oxyrinchus,Acipense,553269,Atlantic sturgeon,Gulf sturgeon,60,1,0,1,0,0,0,0,1,1,0,0,0,267.0,18.0,60.0,3755745,0,0.00,0.00,1.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555.0,-555.0,5555555.555555,5555555.555555,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1185253,16653,2,3591,2691,1,4,1,1,0,0,0,O
Atransmo,Atransmo,39,Acipense,Acipenser,transmontanus,Acipense,161068,white sturgeon,.,60,1,0,1,0,0,0,0,1,1,0,1,1,320.0,24.0,104.0,350000,0,0.00,0.50,1.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,4.00,CA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555.0,-555.0,-1927260.94964,3183770.65082,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,682165,7836,4,3593,1475,1,1,1,1,0,0,0,O
Aalutace,Aalutace,3,Cyprinid,Acrocheilus,alutaceus,Acrochei,163531,chiselmouth,.,102,1,0,1,1,1,1,1,1,0,0,0,0,30.0,4.5,8.0,18400,0,0.00,0.00,0.00,0.50,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,2.00,OR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1,31.7,-1744398.00716,2763933.44943,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,411948,4216,4,1521,852,0,0,0,0,0,0,0,O
Achrysog,Achrysog,13,Cyprinid,Agosia,chrysogaster,Agosia,163533,longfin dace,.,102,1,0,1,0,1,0,1,1,0,0,0,0,10.0,1.0,3.0,2500,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,8.00,NM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-555.0,-555.0,-1340749.86878,982162.85793,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,309289,3073,1,1124,560,1,3,1,0,0,0,0,O
Aaestiva,Aaestiva,1,Clupeida,Alosa,aestivalis,Alosa,161703,blueback herring,.,97,1,0,0,1,0,0,0,1,1,0,0,0,40.0,4.0,9.0,349000,0,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,VA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555.0,-555.0,1938173.77838,2187256.30450,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,453962,7576,1,2526,1422,0,0,0,0,0,0,0,O
Aalabama,Aalabama,2,Clupeida,Alosa,alabamae,Alosa,161705,Alabama shad,.,97,1,0,0,0,1,0,0,1,0,0,0,0,51.0,4.0,6.0,250000,1,0.00,0.50,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,AL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6,33.3,661859.44485,1257696.69182,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,412388,8856,1,1411,1223,1,2,1,1,0,0,0,O
