"UID","PUBLICATION_DATE","SITE_ID","DATE_COL","VISIT_NO","PSTL_CODE","LAT_DD83","LON_DD83","AG_ECO3","AG_ECO9","EPA_REG","STATE","CHEM_NOT_COLLECTED","WCHL_NOT_COLLECTED","LAB","MATRIX","SAM_CODE","CHEM_DATE_RECEIVED","CHEM_LAB_SAMPLE_ID","AMMONIA_N_BATCH_ID","AMMONIA_N_DATE_ANALYZED","AMMONIA_N_DILUTION_FACTOR","AMMONIA_N_HOLDING_TIME","AMMONIA_N_MDL","AMMONIA_N_NARS_FLAG","AMMONIA_N_QA_FLAG","AMMONIA_N_RESULT","AMMONIA_N_RL","AMMONIA_N_UNITS","ANC_BATCH_ID","ANC_DATE_ANALYZED","ANC_HOLDING_TIME","ANC_MDL","ANC_NARS_FLAG","ANC_QA_FLAG","ANC_RESULT","ANC_RL","ANC_UNITS","CALCIUM_BATCH_ID","CALCIUM_DATE_ANALYZED","CALCIUM_DILUTION_FACTOR","CALCIUM_HOLDING_TIME","CALCIUM_MDL","CALCIUM_NARS_FLAG","CALCIUM_QA_FLAG","CALCIUM_RESULT","CALCIUM_RL","CALCIUM_UNITS","CHLORIDE_BATCH_ID","CHLORIDE_DATE_ANALYZED","CHLORIDE_DILUTION_FACTOR","CHLORIDE_HOLDING_TIME","CHLORIDE_MDL","CHLORIDE_NARS_FLAG","CHLORIDE_QA_FLAG","CHLORIDE_RESULT","CHLORIDE_RL","CHLORIDE_UNITS","COLOR_BATCH_ID","COLOR_DATE_ANALYZED","COLOR_HOLDING_TIME","COLOR_MDL","COLOR_NARS_FLAG","COLOR_QA_FLAG","COLOR_RESULT","COLOR_RL","COLOR_UNITS","COND_BATCH_ID","COND_DATE_ANALYZED","COND_HOLDING_TIME","COND_MDL","COND_NARS_FLAG","COND_QA_FLAG","COND_RESULT","COND_RL","COND_UNITS","DOC_BATCH_ID","DOC_DATE_ANALYZED","DOC_DILUTION_FACTOR","DOC_HOLDING_TIME","DOC_MDL","DOC_NARS_FLAG","DOC_QA_FLAG","DOC_RESULT","DOC_RL","DOC_UNITS","MAGNESIUM_BATCH_ID","MAGNESIUM_DATE_ANALYZED","MAGNESIUM_DILUTION_FACTOR","MAGNESIUM_HOLDING_TIME","MAGNESIUM_MDL","MAGNESIUM_NARS_FLAG","MAGNESIUM_QA_FLAG","MAGNESIUM_RESULT","MAGNESIUM_RL","MAGNESIUM_UNITS","NITRATE_N_BATCH_ID","NITRATE_N_DATE_ANALYZED","NITRATE_N_DILUTION_FACTOR","NITRATE_N_HOLDING_TIME","NITRATE_N_MDL","NITRATE_N_NARS_FLAG","NITRATE_N_QA_FLAG","NITRATE_N_RESULT","NITRATE_N_RL","NITRATE_N_UNITS","NITRATE_NITRITE_N_BATCH_ID","NITRATE_NITRITE_N_DATE_ANALYZED","NITRATE_NITRITE_N_HOLDING_TIME","NITRATE_NITRITE_N_MDL","NITRATE_NITRITE_N_NARS_FLAG","NITRATE_NITRITE_N_QA_FLAG","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RL","NITRATE_NITRITE_N_UNITS","NITRITE_N_BATCH_ID","NITRITE_N_DATE_ANALYZED","NITRITE_N_DILUTION_FACTOR","NITRITE_N_HOLDING_TIME","NITRITE_N_MDL","NITRITE_N_NARS_FLAG","NITRITE_N_QA_FLAG","NITRITE_N_RESULT","NITRITE_N_RL","NITRITE_N_UNITS","NTL_BATCH_ID","NTL_DATE_ANALYZED","NTL_DISS_BATCH_ID","NTL_DISS_DATE_ANALYZED","NTL_DISS_HOLDING_TIME","NTL_DISS_MDL","NTL_DISS_NARS_FLAG","NTL_DISS_QA_FLAG","NTL_DISS_RESULT","NTL_DISS_UNITS","NTL_HOLDING_TIME","NTL_MDL","NTL_NARS_FLAG","NTL_QA_FLAG","NTL_RESULT","NTL_RL","NTL_UNITS","PH_BATCH_ID","PH_DATE_ANALYZED","PH_HOLDING_TIME","PH_NARS_FLAG","PH_QA_FLAG","PH_RESULT","PH_UNITS","POTASSIUM_BATCH_ID","POTASSIUM_DATE_ANALYZED","POTASSIUM_DILUTION_FACTOR","POTASSIUM_HOLDING_TIME","POTASSIUM_MDL","POTASSIUM_NARS_FLAG","POTASSIUM_QA_FLAG","POTASSIUM_RESULT","POTASSIUM_RL","POTASSIUM_UNITS","PTL_BATCH_ID","PTL_DATE_ANALYZED","PTL_DISS_BATCH_ID","PTL_DISS_DATE_ANALYZED","PTL_DISS_HOLDING_TIME","PTL_DISS_MDL","PTL_DISS_NARS_FLAG","PTL_DISS_QA_FLAG","PTL_DISS_RESULT","PTL_DISS_UNITS","PTL_HOLDING_TIME","PTL_MDL","PTL_NARS_FLAG","PTL_QA_FLAG","PTL_RESULT","PTL_RL","PTL_UNITS","SILICA_BATCH_ID","SILICA_DATE_ANALYZED","SILICA_HOLDING_TIME","SILICA_MDL","SILICA_NARS_FLAG","SILICA_QA_FLAG","SILICA_RESULT","SILICA_RL","SILICA_UNITS","SODIUM_BATCH_ID","SODIUM_DATE_ANALYZED","SODIUM_DILUTION_FACTOR","SODIUM_HOLDING_TIME","SODIUM_MDL","SODIUM_NARS_FLAG","SODIUM_QA_FLAG","SODIUM_RESULT","SODIUM_RL","SODIUM_UNITS","SULFATE_BATCH_ID","SULFATE_DATE_ANALYZED","SULFATE_DILUTION_FACTOR","SULFATE_HOLDING_TIME","SULFATE_MDL","SULFATE_NARS_FLAG","SULFATE_QA_FLAG","SULFATE_RESULT","SULFATE_RL","SULFATE_UNITS","TKN_BATCH_ID","TKN_DATE_ANALYZED","TKN_HOLDING_TIME","TKN_MDL","TKN_NARS_FLAG","TKN_QA_FLAG","TKN_RESULT","TKN_RL","TKN_UNITS","TSS_BATCH_ID","TSS_DATE_ANALYZED","TSS_HOLDING_TIME","TSS_MDL","TSS_NARS_FLAG","TSS_QA_FLAG","TSS_RESULT","TSS_RL","TSS_UNITS","TURB_BATCH_ID","TURB_DATE_ANALYZED","TURB_HOLDING_TIME","TURB_MDL","TURB_NARS_FLAG","TURB_QA_FLAG","TURB_RESULT","TURB_RL","TURB_UNITS","WCHL_DATE_RECEIVED","WCHL_LAB_SAMPLE_ID","CHLA_BATCH_ID","CHLA_DATE_ANALYZED","CHLA_HOLDING_TIME","CHLA_MDL","CHLA_NARS_FLAG","CHLA_RESULT","CHLA_RL","CHLA_UNITS","CHLA_VOLUME_FILTERED","PHEO_BATCH_ID","PHEO_DATE_ANALYZED","PHEO_HOLDING_TIME","PHEO_NARS_FLAG","PHEO_RESULT","PHEO_RL"
2014737,"4/28/2021","NRS18_OK_10062","6/20/2018",1,"OK",35.54538886,-99.72270533,"PLNLOW","SPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"6/26/2018","6/26/2018",NA,6,0.008,"ND","",NA,0.1,"","6/22/2018","6/22/2018",2,NA,"","",6380,20,"uEQ/L","6/26/2018","6/26/2018",NA,6,NA,"","",65.2,0.5,"mg/L","6/21/2018","6/21/2018",NA,1,0.147,"","",24.5,3,"mg/L","6/21/2018","6/21/2018",1,NA,"","",60,2,"APHA PT-CO","6/21/2018","6/21/2018",1,NA,"","",632,2,"uS/cm","7/4/2018","7/4/2018",NA,14,0.028,"","",5.49,0.5,"mg/L","6/26/2018","6/26/2018",NA,6,0.021,"","",12.3,0.5,"mg/L","6/21/2018","6/21/2018",NA,1,0.016,"","",1.57,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","6/21/2018","6/21/2018",NA,1,0.002,"L","","0.01",0.1,"mg N/L","6/29/2018","6/29/2018",NA,"",NA,NA,"","",NA,"",9,NA,"Q","",3.24,NA,"mg N/L","6/21/2018","6/21/2018",1,"H","",8.06,"Std. Units","6/26/2018","6/26/2018",NA,6,0.025,"","",2.32,0.5,"mg/L","6/27/2018","6/27/2018",NA,"",NA,NA,"","",NA,"",7,2,"","",223,10,"ug/L","6/26/2018","6/26/2018",6,0.013,"","",30.5,0.05,"mg/L","6/26/2018","6/26/2018",NA,6,0.025,"","",55.9,0.5,"mg/L","6/21/2018","6/21/2018",NA,1,0.04,"","",20.4,0.5,"mg/L","6/27/2018","6/27/2018",7,0.022,"","","1.66",0.1,"mg N/L","6/22/2018","6/22/2018",2,NA,"","","264",10,"mg/L","6/21/2018","6/21/2018",1,NA,"","",123,0.2,"NTU","6/21/2018","OWRB-1272718-06","6/28/2018","6/28/2018",8,NA,"","8.9",0.5,"",NA,"6/28/2018","6/28/2018",8,"","17.6",0.5
2012488,"4/28/2021","NRS18_OK_10431","6/25/2018",1,"OK",36.90216839,-95.16425506,"PLNLOW","TPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/17/2018","7/17/2018",NA,21,0.02,"L","",0.099,0.1,"mg N/L","6/29/2018","6/29/2018",4,NA,"","",3270,20,"uEQ/L","7/3/2018","7/3/2018",NA,8,NA,"","",92.1,0.5,"mg/L","6/28/2018","6/28/2018",NA,3,0.147,"","",5.7,3,"mg/L","6/28/2018","6/28/2018",3,NA,"H","",20,2,"APHA PT-CO","6/28/2018","6/28/2018",3,NA,"","",959,2,"uS/cm","7/4/2018","7/4/2018",NA,9,0.028,"","",4.45,0.5,"mg/L","7/3/2018","7/3/2018",NA,8,0.021,"","",39.4,0.5,"mg/L","6/28/2018","6/28/2018",NA,3,0.016,"L","",0.133,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","6/28/2018","6/28/2018",NA,3,0.002,"L","","0.024",0.1,"mg N/L","7/12/2018","7/12/2018",NA,"",NA,NA,"","",NA,"",17,NA,"Q","",0.257,NA,"mg N/L","6/28/2018","6/28/2018",3,"H","",7.84,"Std. Units","7/3/2018","7/3/2018",NA,8,0.025,"","",4.53,0.5,"mg/L","7/2/2018","7/2/2018",NA,"",NA,NA,"","",NA,"",7,2,"","",55,10,"ug/L","7/3/2018","7/3/2018",8,0.013,"","",6.65,0.05,"mg/L","7/3/2018","7/3/2018",NA,8,0.025,"","",23.7,0.5,"mg/L","7/6/2018","7/6/2018",NA,11,0.04,"","",365,0.5,"mg/L","7/6/2018","7/6/2018",11,0.022,"Q,L","","<0.10",0.1,"mg N/L","6/29/2018","6/29/2018",4,NA,"","","23",10,"mg/L","6/28/2018","6/28/2018",3,NA,"H","",15.8,0.2,"NTU","6/28/2018","OWRB-1271897-06","6/29/2018","6/29/2018",4,NA,"","11.4",0.5,"",NA,"6/29/2018","6/29/2018",4,"","15.9",0.5
2012489,"4/28/2021","NRS18_OK_10025","7/2/2018",1,"OK",33.92944924,-96.0702418,"PLNLOW","CPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/17/2018","7/17/2018",NA,15,0.02,"ND","",NA,0.1,"","7/10/2018","7/10/2018",8,NA,"H","",5130,20,"uEQ/L","7/11/2018","7/11/2018",NA,9,NA,"","",43.5,0.5,"mg/L","7/6/2018","7/6/2018",NA,4,0.147,"","",5.7,3,"mg/L","7/5/2018","7/5/2018",3,NA,"H","",28,2,"APHA PT-CO","7/5/2018","7/5/2018",3,NA,"","",450,2,"uS/cm","7/6/2018","7/6/2018",NA,4,0.028,"","",2.18,0.5,"mg/L","7/11/2018","7/11/2018",NA,9,0.021,"","",28.1,0.5,"mg/L","7/6/2018","7/6/2018",NA,4,0.016,"L,H","",0.033,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","7/12/2018","7/12/2018",NA,10,0.002,"ND,H","","",0.1,"","7/31/2018","7/31/2018",NA,"",NA,NA,"","",NA,"",29,NA,"Q","",0.305,NA,"mg N/L","7/5/2018","7/5/2018",3,"H","",8.42,"Std. Units","7/11/2018","7/11/2018",NA,9,0.025,"","",1.76,0.5,"mg/L","7/11/2018","7/11/2018",NA,"",NA,NA,"","",NA,"",9,2,"","",50,10,"ug/L","7/11/2018","7/11/2018",9,0.013,"","",8.65,0.05,"mg/L","7/11/2018","7/11/2018",NA,9,0.025,"","",6.55,0.5,"mg/L","7/6/2018","7/6/2018",NA,4,0.04,"","",8.2,0.5,"mg/L","7/12/2018","7/12/2018",10,0.022,"","","0.27",0.1,"mg N/L","7/6/2018","7/6/2018",4,NA,"","","18",10,"mg/L","7/5/2018","7/5/2018",3,NA,"H","",15.6,0.2,"NTU","7/5/2018","OWRB-1271905-06","7/17/2018","7/17/2018",15,NA,"","8.54",0.5,"",NA,"7/17/2018","7/17/2018",15,"","2.22",0.5
2012490,"4/28/2021","NRS18_WI_10091","7/2/2018",1,"WI",42.5368677,-89.39556013,"PLNLOW","TPL","Region_05","WI","","","WSLOH","WATER","REGULAR",1,0,"135346","7/27/2018",NA,25,0.015,"L","L",0.0454,0.048,"mg N/L","","",NA,NA,"","",NA,NA,"","134819","7/11/2018",NA,8,0.1,"L",">L",86,0.3,"mg/L","136381","7/26/2018",NA,24,0.031,"L",">L",36,0.1,"mg/L","134445","7/5/2018",3,5,"H","H,>L",20,5,"APHA PT-CO","","",NA,NA,"","",NA,NA,"","135375","7/18/2018",NA,16,0.4,"L",">L",3.52,1.3,"mg/L","134819","7/11/2018",NA,8,0.1,"L",">L",43.8,0.3,"mg/L","135346","7/27/2018",NA,25,1.5,"L",">L",7.93,5,"mg N/L","135346","7/27/2018",25,0.18,"L",">L",7.95,0.6,"mg N/L","134371","7/3/2018",NA,1,0.05,"ND","ND","",0.15,"","135629","7/18/2018",NA,"",NA,NA,"","",NA,"",15,0.15,"L",">L",8.62,0.5,"mg N/L","","",NA,"","",NA,"","134819","7/11/2018",NA,8,0.1,"L",">L",5.19,0.3,"mg/L","135703","7/19/2018",NA,"",NA,NA,"","",NA,"",16,5,"L",">L",199,16,"ug/L","135860","7/23/2018",20,0.1,"L",">L",15.8,0.32,"mg/L","134819","7/11/2018",NA,8,0.1,"L",">L",9.64,0.3,"mg/L","136381","7/26/2018",NA,24,0.16,"L",">L",22.2,0.5,"mg/L","","",NA,NA,"","","",NA,"","134612","7/9/2018",6,2.5,"L",">L","8",2.5,"mg/L","134446","7/5/2018",3,0.1,"H","H,>L",7.68,0.1,"NTU","7/3/2018","","134874","7/12/2018",10,NA,"","1.18",NA,"",200,"","",NA,"","",NA
2012491,"4/28/2021","NRS18_WI_10006","7/12/2018",1,"WI",45.49625722,-87.98249295,"PLNLOW","UMW","Region_05","WI","","","WSLOH","WATER","REGULAR",1,0,"136580","8/1/2018",NA,19,0.015,"L","L",0.0183,0.048,"mg N/L","136171","7/26/2018",13,51,"L",">L",2460,51,"uEQ/L","135537","7/18/2018",NA,5,0.1,"L",">L",29.8,0.3,"mg/L","136381","7/26/2018",NA,13,0.031,"L",">L",4.03,0.1,"mg/L","135229","7/13/2018",0,5,"L",">L",30,5,"APHA PT-CO","136171","7/26/2018",13,10,"L",">L",267,10,"uS/cm","136759","8/9/2018",NA,27,0.4,"L",">L",4.88,1.3,"mg/L","135537","7/18/2018",NA,5,0.1,"L",">L",14.1,0.3,"mg/L","136580","8/1/2018",NA,19,0.3,"ND","ND",NA,1,"","136580","8/1/2018",19,0.036,"L","L",0.0922,0.12,"mg N/L","135257","7/13/2018",NA,0,0.05,"ND","ND","",0.15,"","135629","7/18/2018",NA,"",NA,NA,"","",NA,"",5,0.075,"L",">L",0.278,0.25,"mg N/L","136171","7/26/2018",13,"","",8.17,"Std. Units","135537","7/18/2018",NA,5,0.1,"L",">L",1.25,0.3,"mg/L","136162","7/25/2018",NA,"",NA,NA,"","",NA,"",12,5,"L",">L",17.9,16,"ug/L","135860","7/23/2018",10,0.1,"L",">L",10.8,0.32,"mg/L","135537","7/18/2018",NA,5,0.1,"L",">L",3.06,0.3,"mg/L","136381","7/26/2018",NA,13,0.16,"L",">L",7.23,0.5,"mg/L","","",NA,NA,"","","",NA,"","135288","7/16/2018",3,2.5,"ND","ND","",2.5,"","135231","7/13/2018",0,0.1,"L",">L",2.29,0.1,"NTU","7/13/2018","","136233","7/27/2018",15,NA,"","1.19",NA,"",200,"","",NA,"","",NA
2012492,"4/28/2021","NRS18_OK_10001","7/16/2018",2,"OK",35.7493094,-97.13433463,"PLNLOW","SPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/31/2018","7/31/2018",NA,15,0.02,"ND","",NA,0.1,"","7/18/2019","7/18/2018",2,NA,"","",6880,20,"uEQ/L","7/27/2018","7/27/2018",NA,11,NA,"","",34.5,0.5,"mg/L","7/19/2018","7/19/2018",NA,3,0.147,"","",14.4,3,"mg/L","7/19/2018","7/19/2018",3,NA,"H","",20,2,"APHA PT-CO","7/19/2018","7/19/2018",3,NA,"","",606,2,"uS/cm","7/27/2018","7/27/2018",NA,11,0.028,"","",5.93,0.5,"mg/L","7/27/2018","7/27/2018",NA,11,0.021,"","",34.6,0.5,"mg/L","7/19/2018","7/19/2018",NA,3,0.016,"L","",0.071,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","7/19/2018","7/19/2018",NA,3,0.002,"L","","0.028",0.1,"mg N/L","8/14/2018","8/14/2018",NA,"",NA,NA,"","",NA,"",29,NA,"Q","",0.609,NA,"mg N/L","7/19/2018","7/19/2018",3,"H","",8.54,"Std. Units","7/27/2018","7/27/2018",NA,11,0.025,"","",3.8,0.5,"mg/L","7/26/2018","7/26/2018",NA,"",NA,NA,"","",NA,"",10,2,"","",54,10,"ug/L","7/27/2018","7/27/2018",11,0.013,"","",13.3,0.05,"mg/L","7/27/2018","7/27/2018",NA,11,0.025,"","",39.3,0.5,"mg/L","7/19/2018","7/19/2018",NA,3,0.04,"","",10.3,0.5,"mg/L","7/24/2018","7/24/2018",8,0.022,"","","0.51",0.1,"mg N/L","7/19/2018","7/19/2018",3,NA,"L","","<5.0",10,"mg/L","7/19/2018","7/19/2018",3,NA,"H","",9.4,0.2,"NTU","","","","",NA,NA,"","",NA,"",NA,"","",NA,"","",NA
2012493,"4/28/2021","NRS18_OK_11085","7/16/2018",1,"OK",36.71441566,-97.79295371,"PLNLOW","SPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/31/2018","7/31/2018",NA,15,0.02,"ND","",NA,0.1,"","7/18/2019","7/18/2018",2,NA,"","",7130,20,"uEQ/L","7/27/2018","7/27/2018",NA,11,NA,"","",66.8,0.5,"mg/L","7/19/2018","7/19/2018",NA,3,0.147,"","",217,3,"mg/L","7/19/2018","7/19/2018",3,NA,"H","",49,2,"APHA PT-CO","7/19/2018","7/19/2018",3,NA,"","",1500,2,"uS/cm","7/27/2018","7/27/2018",NA,11,0.028,"","",3.54,0.5,"mg/L","7/27/2018","7/27/2018",NA,11,0.021,"","",32.9,0.5,"mg/L","7/19/2018","7/19/2018",NA,3,0.016,"L","",0.144,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","7/19/2018","7/19/2018",NA,3,0.002,"L","","0.031",0.1,"mg N/L","8/14/2018","8/14/2018",NA,"",NA,NA,"","",NA,"",29,NA,"Q","",1.175,NA,"mg N/L","7/19/2018","7/19/2018",3,"H","",8.53,"Std. Units","7/27/2018","7/27/2018",NA,11,0.025,"","",8.35,0.5,"mg/L","7/26/2018","7/26/2018",NA,"",NA,NA,"","",NA,"",10,2,"","",249,10,"ug/L","7/27/2018","7/27/2018",11,0.013,"","",10.4,0.05,"mg/L","7/27/2018","7/27/2018",NA,11,0.025,"","",191,0.5,"mg/L","7/26/2018","7/26/2018",NA,10,0.04,"","",142,0.5,"mg/L","7/24/2018","7/24/2018",8,0.022,"","","1",0.1,"mg N/L","7/19/2018","7/19/2018",3,NA,"","","16",10,"mg/L","7/19/2018","7/19/2018",3,NA,"H","",18.7,0.2,"NTU","7/19/2018","OWRB-1271917-06","7/31/2018","7/31/2018",15,NA,"","17.2",0.5,"",NA,"7/31/2018","7/31/2018",15,"","7.67",0.5
2012494,"4/28/2021","NRS18_WI_10053","7/16/2018",1,"WI",44.55819594,-90.32250897,"PLNLOW","UMW","Region_05","WI","","","WSLOH","WATER","REGULAR",1,0,"136841","8/7/2018",NA,21,0.015,"L","L",0.0462,0.048,"mg N/L","136171","7/26/2018",9,51,"L",">L",1606,51,"uEQ/L","135900","7/24/2018",NA,7,0.1,"L",">L",24,0.3,"mg/L","136381","7/26/2018",NA,9,0.031,"L",">L",5.82,0.1,"mg/L","135771","7/19/2018",2,5,"H","H,>L",25,5,"APHA PT-CO","136171","7/26/2018",9,10,"L",">L",204,10,"uS/cm","136759","8/9/2018",NA,23,0.4,"L",">L",3.06,1.3,"mg/L","135900","7/24/2018",NA,7,0.1,"L",">L",9.13,0.3,"mg/L","136841","8/7/2018",NA,21,0.3,"L",">L",1.39,1,"mg N/L","136841","8/7/2018",21,0.036,"L",">L",1.41,0.12,"mg N/L","135524","7/17/2018",NA,1,0.05,"ND","ND","",0.15,"","138410","8/20/2018",NA,"",NA,NA,"","",NA,"",34,0.075,"L",">L",1.96,0.25,"mg N/L","136171","7/26/2018",9,"","",8.03,"Std. Units","135900","7/24/2018",NA,7,0.1,"L",">L",1.54,0.3,"mg/L","136162","7/25/2018",NA,"",NA,NA,"","",NA,"",8,5,"L",">L",140,16,"ug/L","135860","7/24/2018",7,0.2,"L",">L",23.5,0.64,"mg/L","135900","7/24/2018",NA,7,0.1,"L",">L",6.21,0.3,"mg/L","136381","7/26/2018",NA,9,0.16,"L",">L",4.94,0.5,"mg/L","","",NA,NA,"","","",NA,"","135567","7/18/2018",1,2.5,"L",">L","12.3",2.5,"mg/L","135773","7/19/2018",3,0.1,"H","H,>L",14.5,0.1,"NTU","7/17/2018","","136233","7/27/2018",11,NA,"","5.47",NA,"",200,"","",NA,"","",NA
2012495,"4/28/2021","NRS18_OK_10053","7/17/2018",1,"OK",35.88536261,-97.61348318,"PLNLOW","SPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/31/2018","7/31/2018",NA,14,0.02,"L","",0.02,0.1,"mg N/L","7/18/2019","7/18/2018",1,NA,"","",3320,20,"uEQ/L","7/27/2018","7/27/2018",NA,10,NA,"","",212,0.5,"mg/L","7/27/2018","7/27/2018",NA,10,0.147,"","",5220,3,"mg/L","7/19/2018","7/19/2018",2,NA,"","",25,2,"APHA PT-CO","7/19/2018","7/19/2018",2,NA,"","",16000,2,"uS/cm","7/27/2018","7/27/2018",NA,10,0.028,"","",0.8,0.5,"mg/L","7/27/2018","7/27/2018",NA,10,0.021,"","",72.5,0.5,"mg/L","7/19/2018","7/19/2018",NA,2,0.016,"L","",0.0637,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","7/19/2018","7/19/2018",NA,2,0.002,"L","","0.002",0.1,"mg N/L","8/14/2018","8/14/2018",NA,"",NA,NA,"","",NA,"",28,NA,"Q","",0.9557,NA,"mg N/L","7/19/2018","7/19/2018",2,"H","",8.59,"Std. Units","7/27/2018","7/27/2018",NA,10,0.025,"","",10.7,0.5,"mg/L","7/26/2018","7/26/2018",NA,"",NA,NA,"","",NA,"",9,2,"","",84,10,"ug/L","7/27/2018","7/27/2018",10,0.013,"","",10.2,0.05,"mg/L","7/27/2018","7/27/2018",NA,10,0.025,"","",3120,0.5,"mg/L","7/27/2018","7/27/2018",NA,10,0.04,"","",639,0.5,"mg/L","7/24/2018","7/24/2018",7,0.022,"","","0.89",0.1,"mg N/L","7/19/2018","7/19/2018",2,NA,"","","40",10,"mg/L","7/19/2018","7/19/2018",2,NA,"","",15.6,0.2,"NTU","7/19/2018","OWRB-1271919-06","7/31/2018","7/31/2018",14,NA,"","39.3",0.5,"",NA,"7/31/2018","7/31/2018",14,"","4.96",0.5
2012496,"4/28/2021","NRS18_OK_10050","7/17/2018",2,"OK",35.92581867,-99.51524603,"PLNLOW","SPL","Region_06","OK","","","ODEQ","WATER","REGULAR",1,6,"7/31/2018","7/31/2018",NA,14,0.02,"ND","",NA,0.1,"","7/19/2018","7/19/2018",2,NA,"","",3190,20,"uEQ/L","7/27/2018","7/27/2018",NA,10,NA,"","",66.5,0.5,"mg/L","7/26/2018","7/26/2018",NA,9,0.147,"","",508,3,"mg/L","7/19/2018","7/19/2018",2,NA,"","",15,2,"APHA PT-CO","7/19/2018","7/19/2018",2,NA,"","",2380,2,"uS/cm","7/27/2018","7/27/2018",NA,10,0.028,"Q","",1.02,0.5,"mg/L","7/27/2018","7/27/2018",NA,10,0.021,"","",37.7,0.5,"mg/L","7/19/2018","7/19/2018",NA,2,0.016,"L","",0.087,0.2,"mg N/L","","",NA,NA,"","",NA,NA,"","7/19/2018","7/19/2018",NA,2,0.002,"L","","0.002",0.1,"mg N/L","8/14/2018","8/14/2018",NA,"",NA,NA,"","",NA,"",28,NA,"Q","",0.379,NA,"mg N/L","7/19/2018","7/19/2018",2,"H","",8.57,"Std. Units","7/27/2018","7/27/2018",NA,10,0.025,"","",5.66,0.5,"mg/L","7/26/2018","7/26/2018",NA,"",NA,NA,"","",NA,"",9,2,"L","",5,10,"ug/L","7/27/2018","7/27/2018",10,0.013,"","",11.7,0.05,"mg/L","7/27/2018","7/27/2018",NA,10,0.025,"","",340,0.5,"mg/L","7/26/2018","7/26/2018",NA,9,0.04,"","",260,0.5,"mg/L","7/24/2018","7/24/2018",7,0.022,"","","0.29",0.1,"mg N/L","7/19/2018","7/19/2018",2,NA,"L","","<5.0",10,"mg/L","7/19/2018","7/19/2018",2,NA,"","",5.5,0.2,"NTU","","","","",NA,NA,"","",NA,"",NA,"","",NA,"","",NA
