"","COMMONNAME","OTHERNAMES","MAXTL","MINTEMP","MAXTEMP","MUCK","CLAYSILT","SAND","GRAVEL","COBBLE","BOULDER","BEDROCK","VEGETAT","DEBRDETR","LWD","SLOWCURR","MODCURR","FASTCURR"
"1","river carpsucker",".",64,-6.8,33.3,1,1,1,0,0,0,0,0,0,0,1,0,0
"2","quillback",".",66,-11.7,29.6,0,0,1,1,1,1,1,0,0,0,1,1,0
"3","highfin carpsucker",".",50,-6,31.5,1,1,1,1,0,0,0,0,0,0,0,1,0
"4","utah sucker",".",65,-9.6,25.4,0,1,1,1,1,0,0,1,0,0,1,1,1
"5","yaqui sucker",".",40,-2.6,29.9,1,1,1,1,1,0,0,0,0,0,1,1,1
"6","longnose sucker",".",64,-999,-999,0,0,1,1,0,0,0,0,0,0,1,1,0
"7","desert sucker",".",33,-2.6,34.6,0,1,1,1,0,0,0,0,1,0,0,1,0
"8","bridgelip sucker",".",30,-5,26.9,0,1,1,1,1,0,0,0,0,0,1,1,1
"9","white sucker",".",64,-999,-999,1,1,1,1,1,1,1,1,1,0,1,1,1
"10","bluehead sucker",".",40,-9.1,28,0,0,1,1,1,1,1,0,1,0,0,1,1
"11","owens sucker",".",50,-7.2,28.8,0,0,1,1,1,0,0,1,0,0,1,1,0
"12","sonora sucker",".",80,2.8,38.6,0,1,1,1,1,0,1,0,1,0,0,1,0
"13","flannelmouth sucker",".",56,-6.7,33.6,0,1,1,1,1,0,1,0,1,0,1,1,1
"14","largescale sucker",".",61,-6.9,30.6,0,0,1,1,0,0,0,0,0,0,1,0,0
"15","modoc sucker",".",28,-6.3,29.3,1,1,0,1,1,1,1,0,0,0,1,0,0
"16","mountain sucker",".",25,-12,20.4,0,0,1,1,1,1,0,1,1,1,1,1,0
"17","rio grande sucker",".",20,-6.6,33,0,1,1,1,1,0,0,0,1,0,0,1,0
"18","santa ana sucker",".",25,-1.9,25.7,1,1,1,1,1,1,0,0,0,0,1,1,1
"19","klamath largescale sucker",".",55,-7.3,29.3,0,0,0,1,1,0,0,0,0,0,1,1,0
"20","tahoe sucker",".",61,-8.1,27.4,0,0,0,1,1,1,0,1,1,1,1,1,0
"21","warner sucker",".",35,-6.9,28.6,0,0,1,1,0,0,0,0,0,0,1,0,0
"22","klamath smallscale sucker","jenny creek sucker",48,-555,-555,1,1,1,1,1,0,0,0,0,0,1,1,0
"23","shortnose sucker",".",50,-6.6,28.7,0,0,0,1,1,0,0,1,1,0,1,0,0
"24","cui-ui",".",70,-4.4,31,0,0,1,1,0,0,0,0,0,0,0,1,0
"25","june sucker",".",24,-10.1,31.9,0,0,1,1,0,0,0,1,0,0,1,1,0
"26","snake river sucker",".",-999,-18.6,25.7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,1,0
"27","blue sucker",".",93,-6,31.9,0,0,0,1,1,0,0,0,0,0,0,1,1
"28","lost river sucker",".",74,-6.6,28.3,0,0,1,1,0,0,0,0,0,0,1,0,0
"29","creek chubsucker",".",36,-3.5,30.7,1,1,1,1,1,1,1,1,0,0,1,0,0
"30","lake chubsucker",".",41,-1.4,32,1,1,1,1,0,0,0,1,0,0,1,0,0
"31","sharpfin chubsucker",".",40,-555,-555,1,1,1,0,0,0,0,1,1,0,1,0,0
"32","alabama hog sucker",".",23,0,32.9,0,0,0,1,1,1,1,0,0,0,0,1,1
"33","northern hog sucker",".",61,-8.1,29.3,0,0,0,1,1,1,1,0,0,0,0,1,1
"34","smallmouth buffalo",".",112,-4.6,33.3,0,0,0,0,0,0,0,1,1,1,1,1,0
"35","bigmouth buffalo",".",123,-8,31.7,0,1,1,1,0,0,0,1,1,1,1,0,0
"36","black buffalo",".",123,-5.4,31.7,1,1,1,1,1,1,1,1,1,1,1,0,0
"37","spotted sucker",".",50,-3,32.3,0,1,1,1,1,1,1,0,1,0,1,1,0
"38","silver redhorse",".",74,-999,-999,0,1,1,1,1,1,1,0,0,0,1,1,0
"39","bigeye jumprock",".",20,-555,-555,0,1,1,1,1,1,1,0,0,0,1,1,0
"40","mexican redhorse","west mexican redhorse",49,0.5,37.8,0,0,0,1,1,1,0,0,0,0,0,1,1
"41","river redhorse",".",77,-4.3,32.6,0,0,0,1,1,1,0,0,0,0,0,1,0
