"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"1","NRS18_NC_10014",36.27389536,-81.87095586,66,77864,0.042091667,53.091,1131.537141,10.74888095,651,50.03109002,9.485693338,0.240655365
"2","NRS18_OK_10023",35.1481488,-94.70189843,37,12928,0.221666667,532.629,1264.54004,16.52464482,413.4755496,19.01631267,4.213956202,0.362985874
"3","NRS18_OK_10830",34.45096028,-94.68104222,36,20582,0.23984375,236.3598,1490.792767,15.56366642,650.0268751,19.58384294,4.668520193,0.354524754
"4","NRS18_OK_10034",34.63573085,-95.1215903,36,17703,0.05312593,929.0736,1382.236105,15.87271497,483.4349126,17.41698182,4.332700193,0.37109861
"5","NRS18_OH_10023",39.2169141,-84.61572904,71,23920,1.21,1.6614,1086.253165,12.53568414,354,22,2.51,0.37
"6","NRS18_KY_10006",38.60544808,-83.95593345,71,21397,0.460336538,13.1535,1131.796214,12.47882516,466,16,1.194886076,0.328136846
"7","NRS18_PA_10004",41.60763429,-77.50377625,62,40923,2.132142857,12.2688,1057.258156,7.214092915,552.0070423,40.03462441,4.608239437,0.326855194
"8","NRS18_GA_10003",33.92673274,-85.05046408,45,38311,0.010733333,0.6138,1319.493247,15.54296351,533,46.45601173,4.05,0.27
"9","NRS18_WV_10010",38.26276189,-81.22257444,69,25503,0.767857143,45.4257,1147.4665,11.83053379,765.0331266,35,9.034908565,0.277768312
"10","NRS18_VT_10034",43.29959964,-72.49427176,58,15485,2.925,10.5903,1146.768073,7.106742027,699.2297952,45,6.87,0.26
"11","NRS18_VT_10011",42.87681254,-72.69005327,58,39999,1.565,13.9626,1375.868973,5.94307726,599.5223024,44.29869795,6.899248421,0.288755962
"12","NRS18_PA_10021",41.65584031,-76.78470344,60,32787,0.458333333,121.2669,987.2953041,7.668032822,504.7976711,36.4188109,2.568656831,0.330731403
"13","NRS18_GA_10001",34.06954655,-84.53634847,45,27325,0.001316964,89.5383,1314.928687,15.76439093,579.4358157,50.29373687,4.11986551,0.272760059
"14","NRS18_WV_10031",38.27591788,-80.83754816,69,54845,4.9,5.2767,1205.299517,10.60991317,772,33,4.226696231,0.32
"15","NRS18_TN_10006",35.10401031,-85.36090452,68,19316,0.024522305,55877.7231,1328.285727,13.00573712,646.0598197,50.20962237,7.315947091,0.286248181
"16","NRS18_TN_10026",35.09888425,-85.35359135,68,19316,0.024522305,55875.4416,1328.281156,13.0056668,646.0614554,50.21015051,7.316037139,0.286246803
"17","NRS18_NY_10010",42.23492503,-78.77276172,62,46110,0.4625,54.3249,1173.091173,7.031963169,635.8715893,41.88427958,6.187304054,0.316619672
"18","NRS18_WV_10015",37.74096976,-81.57619751,69,48682,2.344444444,12.645,1330.433137,10.89370936,497.4498221,40.99459075,15.18502206,0.253007117
"19","NRS18_TN_10001",35.39696394,-84.27655927,67,25241,0.092368421,348.0552,1615.620561,12.97032664,617.8500652,59.65281542,15.45184478,0.239504148
"20","NRS18_TN_10009",36.26537716,-82.31630717,67,50066,0.787091696,28.3149,1194.462656,12.64055889,650.1962112,52.76300817,5.969162455,0.284576142
"21","NRS18_NY_10025",43.12555793,-75.5838354,83,14622,0.626666667,7.1568,1080.16681,8.324812911,659,55.87261066,2.964517103,0.307191901
"22","NRS18_WV_10012",38.63828077,-79.19020318,67,53449,2.0625,6.7383,1008.432727,9.75917857,354,42.30185655,12.95407106,0.300622412
"23","NRS18_OH_10030",41.74291863,-80.86951805,61,22923,0.039211996,1355.3226,1058.58207,9.353588907,507.6865412,29.00427514,2.311421197,0.396342719
"24","NRS18_OH_10005",40.37314874,-81.21326468,70,27488,0.140625,4.3695,1037.516497,10.55886889,394,37.86117405,4.799114315,0.364634398
"25","NRS18_VT_10006",43.91461652,-72.45774359,58,30473,5.723006486,1.4067,1038.569004,5.547350603,642,50,9.502533589,0.257133717
"26","NRS18_TN_10004",35.82909968,-83.48464238,67,30022,2.28,1.2906,1225.136951,14.2977348,617,45.91492329,10.96986053,0.280585774
