"","SITE_ID","AG_ECO9","ecoregion_3","total_N","total_P","chloride","sulfate","ANC","DOC","turbidity","RDI","pct_fine","total_N_ug","chloride_ueq","sulfate_ueq","pass_nap","pass_sap","ref_cond","val_cond"
"1","NRS18_NC_10014","SAP",66,1,54,3.9,2.7,NA,1.6,11,1.250020833,7.826086957,1000,110.014104372355,56.2148657089319,NA,NA,"NON-REF","C"
"2","NRS18_OK_10023","SAP",37,0.715,79,4.69,49.5,1540,5.67,15.2,0,9.523809524,715,132.299012693935,1030.60587133042,5,5,"NON-REF","V"
"3","NRS18_OK_10830","SAP",36,0.232,15,1.5,1.67,242,1.72,0.5,0.136363636,0,232,42.3131170662905,34.769935457006,8,8,"REF","C"
"4","NRS18_OK_10034","SAP",36,0.534,58,1.5,3.38,336,5.17,1,0.931827273,0,534,42.3131170662905,70.3726837393296,7,7,"NON-REF","V"
"5","NRS18_OH_10023","SAP",71,1.155,223.221,97.424,57.317,5170.66,3.76,12.06,0.845991558,0,1155,2748.20874471086,1193.35831771809,3,3,"NON-REF","C"
"6","NRS18_KY_10006","SAP",71,1.13,202.514,13.487,31.264,4478.48,2.66,23.63,0.111111111,4.210526316,1130,380.451339915374,650.926504268166,3,3,"NON-REF","C"
"7","NRS18_PA_10004","NAP",62,0.169,13.139,0.478,6.147,240.53,0.86,1.76,0.33335,7.619047619,169,13.4837799717913,127.982510930668,8,8,"REF","C"
"8","NRS18_GA_10003","SAP",45,0.339,46.764,2.649,1.182,412.49,3.2,4.22,0.696986364,0,339,74.7249647390691,24.6096189881324,7,7,"NON-REF","C"
"9","NRS18_WV_10010","SAP",69,0.453,6.226,2.839,93.934,1584.79,1.2,1.92,2.697009091,0,453,80.0846262341326,1955.73599833437,6,6,"NON-REF","C"
"10","NRS18_VT_10034","NAP",58,0.554,32.514,63.581,5.076,608.53,2.74,6.34,5.243924242,0,554,1793.54019746121,105.683947532792,4,4,"NON-REF","V"
"11","NRS18_VT_10011","NAP",58,0.39,14.389,12.816,3.191,164.8,3.81,1.34,3.098531818,0,390,361.523272214386,66.4376431397043,6,6,"NON-REF","V"
"12","NRS18_PA_10021","NAP",60,1.181,66.514,19.433,10.233,1143.8,2.22,2.7,1.651590909,7.619047619,1181,548.180535966149,213.054341036852,5,5,"NON-REF","V"
"13","NRS18_GA_10001","SAP",45,0.603,18.264,5.368,3.431,885.01,1.86,4.91,2.564714307,6.666666667,603,151.424541607898,71.4345200916094,7,7,"NON-REF","C"
"14","NRS18_WV_10031","SAP",69,0.358,13.639,13.411,11.158,1202.58,1.73,5.38,2.242454545,0,358,378.307475317348,232.313137622319,5,5,"NON-REF","C"
"15","NRS18_TN_10006","SAP",68,0.604,39.389,5.779,9.266,1079.56,1.74,9.03,2.588049134,0,604,163.018335684062,192.921090984801,5,5,"NON-REF","C"
"16","NRS18_TN_10026","SAP",68,0.538,41.639,5.952,9.205,1034.76,1.59,8.08,1.560631818,0,538,167.898448519041,191.651051426192,6,6,"NON-REF","C"
"17","NRS18_NY_10010","NAP",62,0.656,85.041,16.887,6.662,1177.61,2.91,3,0.6667,19.04761905,656,476.361071932299,138.704976056631,6,6,"NON-REF","C"
"18","NRS18_WV_10015","SAP",69,0.369,10.751,6.803,207.527,1395.49,0.63,2.08,1.803031818,1.904761905,369,191.904090267983,4320.77867999167,7,7,"NON-REF","C"
"19","NRS18_TN_10001","SAP",67,0.124,15.139,1.066,2.006,243.35,0.76,2.4,0.681822727,20,124,30.0705218617771,41.7655631896731,8,8,"REF","C"
