"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws","AG_ECO9","ref_cond","val_cond","golden.redhorse","black.buffalo","river.redhorse","black.redhorse","silver.redhorse","smallmouth.buffalo","spotted.sucker","alabama.hog.sucker","blacktail.redhorse","eastern.creek.chubsucker","western.creek.chubsucker","northern.hog.sucker","white.sucker","striped.jumprock","notchlip.redhorse","bigmouth.buffalo","river.carpsucker","quillback","shorthead.redhorse","blue.sucker","blackfin.sucker","smallmouth.redhorse","longnose.sucker","v-lip.redhorse","highfin.carpsucker","blacktip.jumprock","roanoke.hog.sucker","torrent.sucker"
"1","NRS18_OK_10830",34.45096028,-94.68104222,36,205.82,0.23984375,236.3598,1490.792767,15.56366642,650.0268751,19.58384294,4.668520193,0.354524754,"SAP","REF","C",0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","NRS18_PA_10004",41.60763429,-77.50377625,62,409.23,2.132142857,12.2688,1057.258156,7.214092915,552.0070423,40.03462441,4.608239437,0.326855194,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","NRS18_TN_10001",35.39696394,-84.27655927,67,252.41,0.092368421,348.0552,1615.620561,12.97032664,617.8500652,59.65281542,15.45184478,0.239504148,"SAP","REF","C",0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","NRS18_WV_10012",38.63828077,-79.19020318,67,534.49,2.0625,6.7383,1008.432727,9.75917857,354,42.30185655,12.95407106,0.300622412,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","NRS18_VT_10006",43.91461652,-72.45774359,58,304.73,5.723006486,1.4067,1038.569004,5.547350603,642,50,9.502533589,0.257133717,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","NRS18_CT_10001",41.38091844,-72.78024571,59,88,3.8625,2.6883,1284.111766,9.915760845,723,49,15.2269702,0.248660864,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","NRS18_VT_10023",44.21852254,-72.26004236,58,376.89,0.9975,33.3036,1199.062078,4.688455381,568.6051238,48.07423522,5.818742298,0.26698465,"NAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","NRS18_RI_10194",41.97922064,-71.70946408,59,138.89,2.796666667,3.3876,1265.07755,9.300117028,700,52.16684378,7.209311902,0.23195271,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","NRS18_AR_10190",34.28039517,-94.44835594,36,282.96,0.7175,21.0942,1432.901945,15.45115095,604.8053588,20,4.857104702,0.363784879,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","NRS18_NH_10002",44.24308509,-72.04818615,58,121.8,0.026650179,5712.8067,1159.319228,4.530700596,663.1575722,48.19035219,7.476160769,0.28258644,"NAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","NRS18_RI_10197",41.90500088,-71.50957817,59,83.77,2.443333333,3.9951,1276.002032,9.701960509,671.5395359,55,12.56263573,0.216972291,"NAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","NRS18_AR_10025",36.08300385,-91.54011977,39,107.6,0.136875,903.699,1216.069902,14.7299908,348.5851929,42.43748693,4.432889906,0.343183785,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","NRS18_AR_10016",35.51034155,-91.92887006,37,79.89,0.079465989,3051.4923,1296.243825,14.7391513,514.5548049,28.23929,4.597244039,0.279345445,"SAP","REF","C",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","NRS18_AR_10191",36.0964581,-92.11822359,39,111.56,1.6,6.1722,1207.751499,14.63635077,448,37,5,0.29,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","NRS18_RI_10004",41.50653938,-71.71228802,59,23.26,0.084550866,155.6442,1229.5703,9.850841454,699.4658143,62.84566723,17.12994906,0.229140386,"NAP","REF","V",0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","NRS18_AR_10007",35.67817479,-93.74408948,38,241.11,0.1589,536.6646,1363.215735,14.44038942,524.2924816,23.83051481,5.015135286,0.280761571,"SAP","REF","C",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","NRS18_PA_10005",41.48846668,-78.13260722,62,477.18,5.873333333,2.9826,1106.755654,7.107551032,609,39.74109837,8.040042245,0.277917924,"NAP","REF","V",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
